aX,aY,aZ,gX,gY,gZ
0.268,0.904,-0.417,38.086,44.434,0.122
0.252,0.961,-0.507,16.724,28.442,-1.526
0.267,0.949,-0.412,-4.700,2.991,-9.155
0.296,0.885,-0.165,-14.099,-19.226,-17.639
0.291,0.818,0.102,-10.559,-27.466,-20.691
0.355,0.753,0.287,12.207,-20.325,-17.944
0.374,0.712,0.310,29.907,2.197,-8.850
0.354,0.749,0.192,46.509,29.053,3.296
0.346,0.840,-0.020,53.772,49.927,13.977
0.330,0.899,-0.177,53.345,57.556,18.066
0.344,0.943,-0.275,50.842,53.162,16.479
0.346,0.969,-0.330,38.879,43.762,11.414
0.349,0.908,-0.329,27.771,29.419,3.174
0.336,0.835,-0.210,15.137,14.038,-2.808
0.319,0.823,-0.049,4.395,4.211,-3.052
0.293,0.797,0.050,4.578,4.883,-2.014
0.321,0.765,0.062,18.738,12.268,-0.122
0.333,0.736,-0.043,29.297,22.888,5.066
0.338,0.789,-0.107,28.625,26.978,14.221
0.318,0.926,-0.129,26.672,23.804,24.109
0.314,1.021,-0.107,15.320,19.470,27.527
0.307,1.087,-0.092,11.841,15.625,25.146
0.300,1.100,-0.080,11.902,13.794,19.043
0.302,1.095,-0.049,19.226,11.841,11.108
0.300,1.041,-0.002,27.100,12.268,3.357
0.321,0.956,0.040,29.724,14.526,-2.014
0.281,0.925,0.005,28.137,19.897,-2.380
0.287,0.953,-0.072,26.794,25.146,0.793
0.273,0.922,-0.161,25.696,23.926,0.854
0.246,0.866,-0.149,13.367,17.334,1.282
0.259,0.954,-0.146,5.371,9.277,6.165
0.268,1.036,-0.087,-2.075,2.075,8.484
0.264,1.092,-0.034,-4.822,-1.465,4.456
0.272,1.063,0.001,-0.122,-2.319,-2.258
0.284,0.979,-0.031,3.906,-0.977,-7.874
0.285,0.947,-0.072,2.808,-0.305,-8.179
0.262,0.972,-0.081,-1.526,-1.770,-5.798
0.264,0.991,-0.063,-5.249,-4.700,-5.310
0.314,0.918,-0.024,-5.615,-7.690,-6.958
0.324,0.854,0.050,-4.333,-8.362,-4.944
0.299,0.937,0.079,-4.700,-3.906,3.113
0.270,1.042,-0.010,-1.465,3.723,8.057
0.251,1.070,-0.137,2.380,7.080,4.395
0.269,1.014,-0.162,4.517,0.854,-3.174
0.286,0.954,-0.107,3.052,-7.507,-8.301
0.325,0.887,0.021,1.648,-12.939,-9.155
0.346,0.858,0.130,1.282,-11.169,-6.348
0.339,0.907,0.100,1.648,-1.709,-0.549
0.316,0.961,-0.033,3.479,7.690,3.723
0.284,1.001,-0.147,2.930,9.705,4.822
0.274,1.015,-0.160,-0.305,3.296,2.502
0.298,0.991,-0.115,-7.019,-4.150,-1.587
0.301,0.964,-0.047,-12.451,-9.277,-4.578
0.289,0.957,0.010,-13.367,-10.681,-5.981
0.000,-2.447,0.801,-65.186,0.000,46.204
-0.129,-2.562,0.883,-45.227,19.836,107.788
-0.138,-2.603,0.871,-30.884,45.227,172.119
-0.098,-2.690,0.769,-18.555,68.176,232.117
-0.188,-2.782,0.739,3.784,82.764,289.551
-0.441,-2.932,0.735,29.236,90.881,348.083
-0.659,-3.132,0.752,48.340,95.703,411.621
-0.784,-3.256,0.752,47.180,101.685,481.628
-1.147,-3.150,0.772,48.218,112.671,559.448
-1.540,-2.737,0.828,44.861,125.244,640.381
-1.861,-2.224,0.809,43.518,140.747,715.332
-2.150,-1.868,0.769,42.542,153.809,769.775
-2.377,-1.727,0.835,28.992,161.499,809.998
-2.766,-1.575,0.973,-2.747,175.964,854.614
-3.299,-1.364,1.132,-15.381,204.529,906.494
-3.828,-0.674,1.278,-9.949,246.155,968.567
-4.000,0.407,1.278,2.686,303.467,1016.968
-3.996,1.473,1.016,28.870,368.164,1017.517
-3.752,2.283,0.478,87.097,422.791,971.436
-3.235,2.782,-0.065,183.716,439.209,883.240
-2.568,3.005,-0.398,227.661,407.532,765.320
-1.816,3.150,-0.602,202.393,353.516,651.550
-0.976,3.060,-0.452,164.368,288.574,535.583
-0.523,3.025,-0.036,134.338,234.131,429.687
-0.521,3.297,0.392,118.286,214.783,331.970
-0.606,3.009,0.236,141.357,230.408,219.971
-0.649,2.534,-0.277,179.382,246.460,127.808
-0.657,1.952,-0.706,168.274,230.530,59.753
-0.638,1.378,-0.798,125.488,178.650,13.794
-0.583,0.599,-0.526,83.496,111.755,-17.700
-0.537,0.083,-0.142,61.890,58.472,-15.686
-0.407,-0.030,0.171,49.744,33.875,20.325
-0.346,0.182,0.336,52.917,35.645,64.697
-0.297,0.589,0.331,72.876,52.856,97.168
-0.232,0.898,0.193,101.501,71.899,103.882
-0.182,1.028,-0.039,124.756,83.008,90.576
-0.098,1.116,-0.250,127.808,77.820,71.289
-0.026,1.026,-0.270,106.689,55.298,48.706
-0.052,0.962,-0.111,78.369,25.146,32.288
-0.067,1.027,0.074,52.917,1.831,29.541
-0.061,1.139,0.219,31.250,-9.155,30.640
-0.066,1.219,0.279,29.724,-10.498,30.762
-0.053,1.287,0.250,35.889,-6.775,30.762
-0.043,1.373,0.182,35.217,-2.686,32.104
-0.014,2.779,-0.717,2.563,-9.094,29.297
0.045,1.163,0.313,-52.307,-62.866,-22.827
-0.009,1.237,0.392,-43.518,-72.327,-32.166
-0.015,1.452,0.119,-79.224,-57.495,-17.639
0.074,1.640,0.263,-80.566,-45.959,-19.592
0.046,1.085,0.116,-34.607,-38.452,-46.082
0.065,1.126,0.019,-36.560,-28.625,-41.138
0.053,0.946,0.090,-29.663,-23.071,-33.875
0.069,1.076,-0.030,-25.024,-14.587,-21.362
0.094,1.094,-0.031,-26.855,-13.977,-14.099
0.065,1.232,-0.020,-19.714,-11.719,-9.888
0.009,1.238,0.133,-19.348,-5.920,-12.146
-0.019,1.126,0.008,10.864,5.981,-19.226
-0.024,1.100,0.025,1.038,11.230,-20.447
-0.017,1.181,0.091,26.978,7.812,-16.541
0.015,1.175,0.004,24.231,14.709,-18.677
-0.001,1.169,-0.105,30.640,16.663,-23.621
0.049,1.138,-0.172,21.790,10.620,-29.297
0.092,1.025,-0.111,8.667,-2.136,-36.682
0.134,0.918,0.066,10.437,-15.076,-41.138
0.164,0.900,0.237,16.357,-16.113,-37.903
0.177,0.937,0.284,31.189,-3.906,-30.945
0.180,0.979,0.179,40.466,14.771,-26.794
0.176,1.006,-0.024,46.814,28.564,-25.757
0.183,0.999,-0.213,46.692,29.358,-27.161
0.177,0.995,-0.310,30.457,16.235,-29.236
0.179,0.984,-0.291,1.709,-4.944,-32.410
0.184,0.977,-0.150,-24.963,-27.893,-35.889
0.224,0.932,0.016,-42.358,-43.091,-38.696
0.257,0.813,0.209,-45.166,-47.668,-40.466
0.283,0.682,0.378,-28.015,-43.396,-37.109
0.281,0.670,0.360,-13.367,-24.658,-23.682
0.233,0.763,0.187,2.136,-2.563,-6.897
0.228,0.872,-0.008,13.855,9.155,3.357
0.214,0.955,-0.133,15.991,7.935,6.104
0.209,1.010,-0.174,8.362,-1.770,3.296
0.244,0.974,-0.135,-6.653,-15.320,-2.930
0.245,0.916,-0.039,-20.874,-27.771,-8.545
0.217,0.890,0.051,-31.067,-34.424,-9.460
0.191,0.903,0.126,-34.180,-35.339,-7.568
0.180,0.904,0.172,-29.602,-31.860,-6.409
0.174,0.907,0.193,-17.883,-26.245,-4.883
0.187,0.890,0.184,-5.371,-18.982,-2.625
0.209,0.873,0.157,2.258,-11.597,0.977
0.184,0.917,0.158,7.141,-6.348,7.019
0.161,0.994,0.136,14.771,-2.319,11.414
0.175,1.026,0.074,18.799,1.587,11.047
0.173,1.023,0.061,20.325,2.380,6.897
0.169,1.011,0.109,20.203,0.427,2.258
0.171,1.025,0.104,18.738,1.282,-0.793
0.194,0.986,0.047,17.334,2.991,-3.723
0.207,0.917,0.041,12.512,0.732,-5.737
0.186,0.928,0.079,4.639,-2.380,-2.197
0.171,0.987,0.110,-1.526,-3.845,2.625
0.161,1.049,0.153,0.061,-4.089,4.822
0.180,1.034,0.165,5.310,-2.075,1.831
0.166,1.012,0.100,8.911,2.136,-1.282
0.142,1.003,0.068,9.460,3.357,-1.953
0.150,0.989,0.114,9.033,0.366,-2.075
0.186,0.965,0.150,7.141,-0.305,-1.587
0.193,0.946,0.165,8.301,1.892,0.977
0.186,0.944,0.161,11.841,5.371,4.456
0.181,0.979,0.090,10.620,9.705,7.385
0.177,1.056,0.017,8.362,10.315,8.789
0.180,1.101,0.000,3.052,6.042,5.798
0.178,1.091,0.035,-2.380,-0.122,-0.488
0.167,1.049,0.094,-5.920,-4.700,-6.348
0.196,0.986,0.122,-8.423,-4.883,-10.071
0.194,0.957,0.095,-9.705,-2.625,-10.010
0.169,0.963,0.078,-10.376,-1.587,-7.629
0.169,0.963,0.072,-8.728,-2.197,-6.287
0.204,0.935,0.069,-7.935,-2.808,-6.042
0.210,0.926,0.085,-6.775,-3.418,-4.517
0.209,0.932,0.103,-6.165,-3.052,-2.930
0.205,0.945,0.089,-4.761,-1.282,-2.319
0.237,-1.741,1.035,-126.343,31.860,59.570
0.217,-1.922,1.085,-106.140,61.462,85.693
0.225,-2.058,1.054,-81.299,92.224,116.760
0.229,-2.146,1.033,-63.782,116.943,151.184
0.179,-2.213,1.007,-53.894,136.230,188.416
0.129,-2.224,1.032,-41.382,151.489,226.746
-0.028,-2.348,1.070,-26.550,165.039,258.606
-0.199,-2.680,0.984,-1.343,182.556,289.734
-0.473,-3.180,0.875,20.630,198.303,329.346
-0.550,-3.656,0.654,49.255,210.815,390.442
-0.978,-3.974,0.509,67.261,214.661,475.403
-1.493,-3.824,0.392,79.712,209.900,586.121
-2.082,-3.560,0.340,79.651,200.500,700.928
-2.730,-3.122,0.372,42.664,195.312,811.829
-3.372,-2.355,0.470,23.926,196.289,920.227
-3.841,-1.638,0.469,30.518,200.928,1002.563
-4.000,-1.009,0.467,38.635,211.304,1049.622
-4.000,-0.100,0.383,67.627,223.389,1079.346
-4.000,0.983,0.229,110.474,230.896,1078.674
-3.760,1.917,0.085,150.452,225.830,1023.499
-3.156,2.616,-0.078,197.754,203.552,923.950
-2.428,2.868,-0.191,216.248,165.527,784.363
-1.834,2.754,-0.148,206.360,118.042,641.785
-1.328,2.626,0.091,171.936,72.083,529.602
-0.913,2.616,0.437,119.263,43.945,450.134
-0.646,2.715,0.665,83.557,43.152,389.282
-0.521,2.858,0.673,81.665,64.819,333.557
-0.480,2.990,0.506,97.778,91.736,268.982
-0.494,2.760,0.178,118.774,111.877,186.768
-0.597,2.214,-0.205,126.892,115.173,98.938
-0.606,1.621,-0.434,105.225,96.863,33.691
-0.469,0.940,-0.427,77.454,61.768,-5.554
-0.348,0.347,-0.219,52.917,25.269,-15.930
-0.207,0.144,0.166,28.687,1.953,5.737
-0.113,0.210,0.475,39.978,4.272,39.246
-0.038,0.422,0.479,75.073,30.029,67.078
0.034,0.596,0.370,98.999,59.265,80.200
0.082,0.698,0.212,124.084,77.759,82.336
0.145,0.773,0.105,133.423,80.444,83.618
0.211,0.780,0.145,124.634,68.420,86.731
0.207,0.848,0.353,100.952,50.659,96.375
0.132,1.100,0.582,76.294,39.429,112.915
0.003,1.424,0.672,61.890,41.260,124.023
-0.093,1.702,0.571,58.838,51.086,122.314
-0.136,1.905,0.417,55.115,55.481,106.995
-0.141,1.986,0.315,46.265,48.706,78.857
-0.151,1.923,0.253,31.982,34.607,42.542
-0.117,1.743,0.257,13.062,17.334,6.775
-0.069,1.544,0.330,-4.395,1.343,-21.851
-0.021,1.274,0.422,-17.151,-8.240,-43.518
0.001,0.964,0.484,-20.142,-10.437,-54.932
0.020,0.816,0.469,-20.447,-5.310,-48.401
